fID,eID,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,99d2c933-df26-41df-bd27-0ec037cc995c,FALSE,None,ABC,1000,21,2,0.72,0.807692308,0.790322581,0.825842697,0.807692308,0.790322581,0.825842697,0.104182047
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,c72bfb9a-ae17-459a-8fc5-4f49532cdb37,FALSE,None,ABC,3468,971,2,0.847750865,0.844705882,0.865060241,0.825287356,0.844705882,0.865060241,0.825287356,3.505622343
622f51f0-b52e-433c-a51c-de7463629a14,03de2430-abcf-4c37-9c6a-8006c3867f44,FALSE,None,ABC,1109,22,2,0.917266187,0.303030303,0.555555556,0.208333333,0.303030303,0.555555556,0.208333333,0.120638683
592d3861-42e9-4735-b81a-d01ae6b70dd1,663e9102-7683-4446-a71b-baacf090c445,FALSE,None,ABC,2109,22,2,0.848484848,0.298245614,0.607142857,0.197674419,0.298245614,0.607142857,0.197674419,0.143020347
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,db560856-79c4-4952-8528-368059976ce3,FALSE,None,ABC,15545,6,2,0.943143813,0.959486709,0.929332386,0.991663509,0.959486709,0.929332386,0.991663509,0.414391599
04bd2751-cd1d-4b93-8c39-38dac2829f62,79cf958d-6831-48a0-be6f-b4c17a06439d,FALSE,None,ABC,1563,38,2,0.890025575,0.245614035,0.368421053,0.184210526,0.245614035,0.368421053,0.184210526,0.173460498
41512d79-272e-479e-9d04-f2763dd95914,5d947d68-15eb-42c1-b356-cebf314f57a1,FALSE,None,ABC,10218,8,10,0.184344423,0.184344423,0.184344423,0.184344423,0.168444807,0.243654855,0.177857259,0.365495835
47184717-32ec-4c50-af43-85af303ff777,ac97cce5-c05b-493c-b370-66d99f3c9819,FALSE,None,ABC,19020,12,2,1,1,1,1,1,1,1,0.023658147
40aef813-403b-4b02-8a14-68ea1b36f2d5,0d893b55-271d-4c45-ac13-69ab3736ce4d,FALSE,None,ABC,1458,38,2,0.912328767,0.627906977,0.818181818,0.509433962,0.627906977,0.818181818,0.509433962,0.163506804
c0ef222f-e486-4261-b928-d0defa3d27a3,6c7405d6-9852-49a0-b101-f39662b3b2f4,FALSE,None,ABC,522,22,2,0.778625954,0.431372549,0.47826087,0.392857143,0.431372549,0.47826087,0.392857143,0.090770435
fbd4793d-015e-4e22-bca0-c43eeb100012,c52f6c55-939b-427c-a666-01876a386940,FALSE,None,ABC,14980,15,2,0.744192256,0.708991495,0.761749347,0.663068182,0.708991495,0.761749347,0.663068182,0.608990334
196c13ec-9eeb-4bd0-ba2e-687e614cbb5a,c4991301-1f44-4dcb-a368-0bab655d8f8d,FALSE,None,ABC,6118,52,6,0.456862745,0.456862745,0.456862745,0.456862745,0.32662765,0.375525974,0.316173307,0.835822405
8a36e541-a8a0-47eb-8512-26667375b340,58042eee-d529-4176-a2bc-12271852fc2d,FALSE,None,ABC,625,5,3,0.942675159,0.942675159,0.942675159,0.942675159,0.893514608,0.868040749,0.941558442,0.075774901
3ebc40be-3bef-486d-8381-a0196ffce596,83a533f6-8dc9-4e48-8dc3-cc58ca96e71a,FALSE,None,ABC,748,5,2,0.79144385,0.380952381,0.8,0.25,0.380952381,0.8,0.25,0.077489973
d007ea8f-fc9b-4b3f-b60f-2a14ee82b887,7ac9eb4f-1136-41f3-96ad-8f13381dc888,FALSE,None,ABC,2126,36,10,0.70112782,0.70112782,0.70112782,0.70112782,0.353913043,0.336904762,0.4,0.19358873
0ed8c812-3069-4125-9e5f-752c3f090a91,313713cf-29da-4f90-98cc-068eb023ab13,FALSE,None,ABC,1080,857,9,0.285185185,0.285185185,0.285185185,0.285185185,0.212663935,0.217549377,0.291446208,0.293341709
27390640-2eb9-47c6-9e58-19ffed66e59f,67ed6e59-9c14-413c-aa4a-bfb987bd9508,FALSE,None,ABC,1372,5,2,0.997084548,0.99669967,1,0.993421053,0.99669967,1,0.993421053,0.100600623
7e537840-b575-47f6-898d-2e0599f6f657,b8096502-d211-45bb-b417-1b7c3906e3be,FALSE,None,ABC,20000,17,26,0.3154,0.3154,0.3154,0.3154,0.284485866,0.313109485,0.319028406,1.16924213
aeb55cd6-4670-44e9-8a57-30080c6fb59c,d3cb6849-32aa-4caa-b014-fdd5a098cc5e,FALSE,None,ABC,540,21,2,0.888888889,0.940239044,0.929133858,0.951612903,0.940239044,0.929133858,0.951612903,0.109314428
6f560487-944c-4495-93ec-7285f2a0cd09,ff5e9ab0-ddf9-47c1-a2d5-51c630322902,FALSE,None,ABC,2000,77,10,0.378,0.378,0.378,0.378,0.298931918,0.371990927,0.375730967,0.783649934
a0a99e63-609a-4bc1-bd4f-6785a2446e46,25b26544-9017-45d3-9fb2-43d8323709f4,FALSE,None,ABC,2000,65,10,0.422,0.422,0.422,0.422,0.343077526,0.331819954,0.416402615,0.680695083
014136a6-c335-46d8-897e-45b633f413f5,4be36f8a-a71e-4623-992c-64fadbcd8987,FALSE,None,ABC,2000,7,10,0.294,0.294,0.294,0.294,0.178383622,0.218103118,0.300740477,0.137296987
690312cf-ea5d-4f2f-9ab5-451ae51ecce1,69dc4c1f-6db1-4fad-93d2-22e1f0b8048f,FALSE,None,ABC,2000,48,10,0.498,0.498,0.498,0.498,0.458940251,0.504822927,0.486680574,0.524437379
a0431e7e-1d50-49a2-8404-8783538f21e1,58fa61f3-3677-428c-90ff-f0fbcbb1c37e,FALSE,None,ABC,5620,65,10,0.66975089,0.66975089,0.66975089,0.66975089,0.659004867,0.666816526,0.66741364,0.459275663
63ea4b62-7676-4f07-9f56-423d20f9a5b1,7899ffc0-049a-44dc-b289-807154871974,FALSE,None,ABC,10992,17,10,0.284570597,0.284570597,0.284570597,0.284570597,0.167754093,0.236836823,0.280570846,0.548188016
0018ded6-3d48-4024-9a50-4e4c56db0fac,1829034c-4591-4743-8022-dd9d374fe5c3,FALSE,None,ABC,2310,20,7,0.517301038,0.517301038,0.517301038,0.517301038,0.475053061,0.45651879,0.567785204,0.21787434
d54ecaea-fa1f-45a3-9e3c-75271a3042c0,3bf80d7a-2d0d-4ca2-9e40-8b788f6f25c1,FALSE,None,ABC,2000,217,10,0.5,0.5,0.5,0.5,0.452674289,0.519463928,0.496647558,0.99416787
048f6035-dbb1-4a1f-be00-bb8810fdd13e,98620cda-5f23-4141-9100-931bbaab2444,FALSE,None,ABC,768,9,2,0.723958333,0.618705036,0.614285714,0.623188406,0.618705036,0.614285714,0.623188406,0.08743319
29a92420-e4f2-4c78-8ce4-37d416ff8ed5,1d36d8dd-176c-4039-bc18-4dd8071eb76e,FALSE,None,ABC,4601,58,2,0.93483927,0.919614148,0.936681223,0.903157895,0.919614148,0.936681223,0.903157895,0.326567922
3c38dd43-36cc-4300-893f-d890d0500de6,24f370d2-291a-46aa-a440-3cb2e4ee4a43,FALSE,None,ABC,846,19,4,0.580188679,0.580188679,0.580188679,0.580188679,0.584905684,0.633567941,0.566903032,0.103798051
c9a0d453-3ae6-4cca-bbd8-c09baf601946,ca2d7956-7e86-46fa-94dc-d6600c26c75e,FALSE,None,ABC,5000,41,3,0.8448,0.8448,0.8448,0.8448,0.844915996,0.845195891,0.845246734,0.649293579
76610bfb-7f98-4497-a064-d4159bfdb7fe,dd9153d7-676b-4cff-90cb-29c6139c64cd,FALSE,None,ABC,6430,37,6,0.342661692,0.342661692,0.342661692,0.342661692,0.301323123,0.361441186,0.322977858,0.486834585
