fID,eID,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c23320a5-328d-40b1-bbd8-5e5cbca8bb30,FALSE,None,GNB,1000,21,2,0.732,0.796352584,0.867549669,0.735955056,0.796352584,0.867549669,0.735955056,0.003607181
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,88d415ea-45dd-408c-a447-aea086f28549,FALSE,None,GNB,3468,971,2,0.785467128,0.782201405,0.797136038,0.767816092,0.782201405,0.797136038,0.767816092,0.065595381
622f51f0-b52e-433c-a51c-de7463629a14,bc7041bc-8bdd-451d-93e9-c9d0b0589a05,FALSE,None,GNB,1109,22,2,0.870503597,0.28,0.269230769,0.291666667,0.28,0.269230769,0.291666667,0.00286026
592d3861-42e9-4735-b81a-d01ae6b70dd1,a1b4503a-f20b-466f-b96f-b5ed97989901,FALSE,None,GNB,2109,22,2,0.808712121,0.356687898,0.394366197,0.325581395,0.356687898,0.394366197,0.325581395,0.003210007
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,5462bd5d-c8d8-47ef-a6f4-9ff45c704bd7,FALSE,None,GNB,15545,6,2,0.67249807,0.70263957,0.915956151,0.569912846,0.70263957,0.915956151,0.569912846,0.006334936
04bd2751-cd1d-4b93-8c39-38dac2829f62,21ae503e-64d5-4883-8c2b-9ba55dd367ec,FALSE,None,GNB,1563,38,2,0.483375959,0.240601504,0.140350877,0.842105263,0.240601504,0.140350877,0.842105263,0.003476277
41512d79-272e-479e-9d04-f2763dd95914,aeb31a60-110b-4c76-a1a5-8a63a3e45fca,FALSE,None,GNB,10218,8,10,0.282191781,0.282191781,0.282191781,0.282191781,0.263883561,0.365174472,0.300242678,0.006923041
47184717-32ec-4c50-af43-85af303ff777,bbbee50e-438f-44a0-b726-229816b3cde5,FALSE,None,GNB,19020,12,2,0.896109359,0.832542373,0.954156954,0.738424534,0.832542373,0.954156954,0.738424534,0.007982378
40aef813-403b-4b02-8a14-68ea1b36f2d5,c3736447-dbe4-43a2-a3fb-70f48d437909,FALSE,None,GNB,1458,38,2,0.857534247,0.434782609,0.512820513,0.377358491,0.434782609,0.512820513,0.377358491,0.003500915
c0ef222f-e486-4261-b928-d0defa3d27a3,dc68e3b5-2e3b-457b-8192-a86193506deb,FALSE,None,GNB,522,22,2,0.847328244,0.545454545,0.75,0.428571429,0.545454545,0.75,0.428571429,0.002642794
fbd4793d-015e-4e22-bca0-c43eeb100012,9a9c4692-2e82-468d-9189-18d342e986db,FALSE,None,GNB,14980,15,2,0.469425901,0.627274433,0.468216186,0.95,0.627274433,0.468216186,0.95,0.006609975
196c13ec-9eeb-4bd0-ba2e-687e614cbb5a,660e5ed0-0ea7-4f15-a77b-b3c757c5ca63,FALSE,None,GNB,6118,52,6,0.171895425,0.171895425,0.171895425,0.171895425,0.153775534,0.231902233,0.22218744,0.007736254
8a36e541-a8a0-47eb-8512-26667375b340,b5da0ede-d681-4384-94a0-db24d7a81723,FALSE,None,GNB,625,5,3,0.885350318,0.885350318,0.885350318,0.885350318,0.617402517,0.591780377,0.649350649,0.002344709
3ebc40be-3bef-486d-8381-a0196ffce596,c95cb02d-2632-4ddd-b7a7-93d33b5c2159,FALSE,None,GNB,748,5,2,0.754010695,0.233333333,0.583333333,0.145833333,0.233333333,0.583333333,0.145833333,0.00225261
d007ea8f-fc9b-4b3f-b60f-2a14ee82b887,1186b97f-fe11-4e14-aae8-7964598b513d,FALSE,None,GNB,2126,36,10,1,1,1,1,1,1,1,0.005034751
0ed8c812-3069-4125-9e5f-752c3f090a91,20599eba-69a1-46d6-a6d5-071472083709,FALSE,None,GNB,1080,857,9,0.874074074,0.874074074,0.874074074,0.874074074,0.878533041,0.888353346,0.879204776,0.020328533
27390640-2eb9-47c6-9e58-19ffed66e59f,105e47ed-ee33-4c00-9663-c9a88602a4d7,FALSE,None,GNB,1372,5,2,0.827988338,0.790035587,0.860465116,0.730263158,0.790035587,0.860465116,0.730263158,0.00233006
7e537840-b575-47f6-898d-2e0599f6f657,a9b0ae85-49b4-42e8-af6f-77db19e2a19e,FALSE,None,GNB,20000,17,26,0.6414,0.6414,0.6414,0.6414,0.636419079,0.655472116,0.64027083,0.017680798
aeb55cd6-4670-44e9-8a57-30080c6fb59c,05ad091f-325a-4f74-91e9-3e3d4f83eb17,FALSE,None,GNB,540,21,2,0.874074074,0.928870293,0.965217391,0.89516129,0.928870293,0.965217391,0.89516129,0.002514484
6f560487-944c-4495-93ec-7285f2a0cd09,1b6f68f1-280f-4e7d-a52a-a220515de48b,FALSE,None,GNB,2000,77,10,0.778,0.778,0.778,0.778,0.777195234,0.788146946,0.772746203,0.005604434
a0a99e63-609a-4bc1-bd4f-6785a2446e46,0e8b430e-5e2a-41bc-afdb-932fddcc8fd2,FALSE,None,GNB,2000,65,10,0.95,0.95,0.95,0.95,0.95011396,0.953746701,0.947768431,0.005511628
014136a6-c335-46d8-897e-45b633f413f5,69a77db3-2707-44f8-a8fe-cbb50358a81a,FALSE,None,GNB,2000,7,10,0.708,0.708,0.708,0.708,0.679154616,0.690253098,0.698556278,0.003763088
690312cf-ea5d-4f2f-9ab5-451ae51ecce1,f652b152-0ae4-4f44-829a-90ba1c0a2eee,FALSE,None,GNB,2000,48,10,0.756,0.756,0.756,0.756,0.737242953,0.738367334,0.739638531,0.005110781
a0431e7e-1d50-49a2-8404-8783538f21e1,0571b26b-d631-497f-ad3f-9e1cce93deac,FALSE,None,GNB,5620,65,10,0.802135231,0.802135231,0.802135231,0.802135231,0.806140006,0.860245916,0.800907422,0.010606577
63ea4b62-7676-4f07-9f56-423d20f9a5b1,07aa6593-1456-414b-a8ae-574539fa8369,FALSE,None,GNB,10992,17,10,0.8569869,0.8569869,0.8569869,0.8569869,0.85470286,0.863468798,0.856665514,0.008821174
0018ded6-3d48-4024-9a50-4e4c56db0fac,1e728371-9646-4f5e-b033-30d23df3133b,FALSE,None,GNB,2310,20,7,0.757785467,0.757785467,0.757785467,0.757785467,0.765993759,0.793597656,0.786037333,0.004037909
d54ecaea-fa1f-45a3-9e3c-75271a3042c0,44c9697e-dfe9-46b6-aa5c-3d1a96f8255d,FALSE,None,GNB,2000,217,10,0.93,0.93,0.93,0.93,0.928613083,0.93215881,0.926625688,0.01132848
048f6035-dbb1-4a1f-be00-bb8810fdd13e,038ff2c6-462c-4026-aaee-934390e3ef43,FALSE,None,GNB,768,9,2,0.734375,0.648275862,0.618421053,0.68115942,0.648275862,0.618421053,0.68115942,0.002424523
29a92420-e4f2-4c78-8ce4-37d416ff8ed5,8dbcf0bd-860d-4ee5-97fe-24fe1d57b0d4,FALSE,None,GNB,4601,58,2,0.827106864,0.818926297,0.721153846,0.947368421,0.818926297,0.721153846,0.947368421,0.006490163
3c38dd43-36cc-4300-893f-d890d0500de6,0e45d498-f346-488c-bb77-c0327ccbb3f0,FALSE,None,GNB,846,19,4,0.485849057,0.485849057,0.485849057,0.485849057,0.446741783,0.563757253,0.507023122,0.00294219
c9a0d453-3ae6-4cca-bbd8-c09baf601946,c980df46-82a0-471d-b013-bab2e40eb920,FALSE,None,GNB,5000,41,3,0.796,0.796,0.796,0.796,0.785684014,0.831053101,0.799871162,0.005351598
