fID,eID,K,weights,algorithm
51d170bf-4964-4990-b3b1-6cb4310b1e4a,88e61455-bace-43e9-b3bf-cc32de79977a,3,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,3203fd5c-01d1-4128-ab7f-256b75867176,3,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,fece0fb9-c138-4374-ad64-2214968d5799,3,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e23061ab-88a7-45ea-b3d9-dc233f73c3c1,3,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,c543b676-fdb2-4d95-8499-13a36f73302d,3,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,7ae43a9d-06e7-4870-a7a1-fe7ada33f69c,3,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,95eea5e5-9cf6-4b0c-aad6-fc1c0f4d5936,5,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,387a5581-5f12-4d61-aa1f-e324508b881b,5,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f3a2c239-b148-4fc0-b59a-41e462a8cf04,5,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a0e8a38e-45b6-49dc-ab97-8ff1ea5e89ce,5,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,43995a8d-9563-4351-aa66-60d72f2b444f,5,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2a3e0bbb-3931-4582-814e-bc9093a161ba,5,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8d724319-9410-405d-b157-66e59c621d89,7,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,71d898b3-c4a8-4833-8e25-1370a110c9b5,7,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b9e93528-1a84-4467-80d6-7a797a7c5c22,7,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a899d7d3-2288-4996-8d1a-f2657420f285,7,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,51926cdf-28e9-417e-8c16-4db1e59f22c5,7,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,6cd6eab1-0152-497e-8749-c95011376253,7,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,f60bd534-bcf3-4171-9a71-ee60e940b523,9,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8c5427f5-ad4a-449d-a9c7-0a88807e234c,9,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d54a093f-86e7-445e-aab0-16fa1524ed43,9,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,70a3df60-ae1e-4257-8f17-afc54bd3678e,9,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,52fd8b91-37ba-4364-afb9-f53b17482052,9,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,da728beb-fe58-4a42-b33c-d2e1b305a062,9,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ea51e59c-7c41-4b68-a772-e32d05b26e23,11,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,12e4b81d-464d-404e-8d40-6ac1ac23c240,11,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,372869ad-975d-4960-913c-eea128df0743,11,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,565807ec-3322-496d-a05b-6b4d9258121c,11,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ef4c40b9-9982-40c6-acfb-9436dbc0c871,11,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,73414985-0770-4450-a4e4-063161d16a03,11,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,328f6d9b-bd23-4209-81e0-04a9c604cc0b,13,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8e9fd1da-1877-4251-a8bc-2bc3b443c40f,13,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,7f07ae99-a7b3-4b25-a16d-675a70f77506,13,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,7efc5c59-ba94-4067-b5e6-4cce41d7d58e,13,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a7858f8f-09a9-43c9-b3d8-648562ed62a4,13,distance,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,18e3d874-e0b9-4600-b19f-cb20c202796e,13,distance,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,84cf3622-374f-4b05-8a6c-73c13d182b38,15,uniform,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,211b1720-4d89-47bf-b688-44f520817542,15,uniform,ball_tree
51d170bf-4964-4990-b3b1-6cb4310b1e4a,4b017894-d96b-4187-9c11-a1cf6705ee3b,15,uniform,brute
51d170bf-4964-4990-b3b1-6cb4310b1e4a,ecafe9a1-c5ba-40f8-942d-f9ee3af5d56b,15,distance,auto
51d170bf-4964-4990-b3b1-6cb4310b1e4a,a3a4f7e0-b176-46c2-adda-ca1dab764e6a,15,distance,ball_tree
