fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e7075010-16f4-473c-8dac-7d638d1f3ea5,[100],lbfgs,tanh,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,9760d693-f764-4279-8f21-8b7c350bf4f4,[200],lbfgs,tanh,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,16c299c7-64a1-4b11-80bc-8286c45585d4,[500],lbfgs,tanh,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2ed57dcd-dacd-4fa5-8aaa-7c80258a18c6,[1000],lbfgs,tanh,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,3faf7004-55fa-4b02-9581-f28138cd1aff,"[100, 20]",lbfgs,tanh,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,58d5987e-b54b-459e-a86d-ceebcfeb33e4,"[200, 20]",lbfgs,tanh,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,753089c6-88df-47fb-834d-5ca902409a61,"[500, 20]",lbfgs,tanh,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d80abbd7-a12b-4ef0-b220-600357b3bfd3,"[1000, 20]",lbfgs,tanh,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e695f3d5-4477-4c89-b165-57e3a9655899,[100],lbfgs,relu,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,1c6a77a5-d48a-46bd-a111-4e0f3075652a,[200],lbfgs,relu,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,08549095-91b2-485d-8e81-04686a550e25,[500],lbfgs,relu,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,088d6243-40f1-4630-bd15-b1f017a2ed3c,[1000],lbfgs,relu,100000,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2909d2c8-0aa5-4fc7-89f5-d5170e748364,"[100, 20]",lbfgs,relu,100000,0.0001
