fID,eID,hidden_layer_neurons,solver,activation_fn,max_Iterations,tolerance,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e7075010-16f4-473c-8dac-7d638d1f3ea5,[100],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1000,21,2,0.748,0.821529745,0.828571429,0.814606742,0.821529745,0.828571429,0.814606742,6.024019586
51d170bf-4964-4990-b3b1-6cb4310b1e4a,9760d693-f764-4279-8f21-8b7c350bf4f4,[200],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1000,21,2,0.768,0.848958333,0.791262136,0.915730337,0.848958333,0.791262136,0.915730337,116.7879785
51d170bf-4964-4990-b3b1-6cb4310b1e4a,16c299c7-64a1-4b11-80bc-8286c45585d4,[500],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1000,21,2,0.772,0.845528455,0.816753927,0.876404494,0.845528455,0.816753927,0.876404494,352.0214873
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2ed57dcd-dacd-4fa5-8aaa-7c80258a18c6,[1000],lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1000,21,2,0.8,0.864864865,0.833333333,0.898876404,0.864864865,0.833333333,0.898876404,644.8853584
51d170bf-4964-4990-b3b1-6cb4310b1e4a,3faf7004-55fa-4b02-9581-f28138cd1aff,"[100, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1000,21,2,0.74,0.826666667,0.78680203,0.870786517,0.826666667,0.78680203,0.870786517,93.97512583
51d170bf-4964-4990-b3b1-6cb4310b1e4a,58d5987e-b54b-459e-a86d-ceebcfeb33e4,"[200, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1000,21,2,0.708,0.794366197,0.796610169,0.792134831,0.794366197,0.796610169,0.792134831,145.162518
51d170bf-4964-4990-b3b1-6cb4310b1e4a,753089c6-88df-47fb-834d-5ca902409a61,"[500, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1000,21,2,0.768,0.840659341,0.822580645,0.859550562,0.840659341,0.822580645,0.859550562,308.3860103
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d80abbd7-a12b-4ef0-b220-600357b3bfd3,"[1000, 20]",lbfgs,tanh,100000,0.0001,FALSE,None,MLP,1000,21,2,0.684,0.776203966,0.782857143,0.769662921,0.776203966,0.782857143,0.769662921,667.9117188
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e695f3d5-4477-4c89-b165-57e3a9655899,[100],lbfgs,relu,100000,0.0001,FALSE,None,MLP,1000,21,2,0.288,0,0,0,0,0,0,0.038205489
51d170bf-4964-4990-b3b1-6cb4310b1e4a,1c6a77a5-d48a-46bd-a111-4e0f3075652a,[200],lbfgs,relu,100000,0.0001,FALSE,None,MLP,1000,21,2,0.288,0,0,0,0,0,0,0.05194787
