fID,eID,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,868e0171-0349-4dc0-ac38-2d9d3fb6b1ce,FALSE,None,QDA,1000,21,2,0.764,0.850632911,0.774193548,0.943820225,0.850632911,0.774193548,0.943820225,0.010519462
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,9a7fc512-d3c6-46ce-b57d-5bd686b30db5,FALSE,None,QDA,3468,971,2,0.815455594,0.826839827,0.781186094,0.87816092,0.826839827,0.781186094,0.87816092,1.712206475
622f51f0-b52e-433c-a51c-de7463629a14,b5da02ea-cefe-40e3-81b4-f8066ba6e392,FALSE,None,QDA,1109,22,2,0.899280576,0.263157895,0.357142857,0.208333333,0.263157895,0.357142857,0.208333333,0.003846084
592d3861-42e9-4735-b81a-d01ae6b70dd1,a25f6516-9ddc-46f5-9ac6-4f4f67ae3547,FALSE,None,QDA,2109,22,2,0.816287879,0.404907975,0.428571429,0.38372093,0.404907975,0.428571429,0.38372093,0.004645223
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,fa2ab8c2-b52b-42a4-8a85-fe4cb0809daa,FALSE,None,QDA,15545,6,2,0.730897865,0.77010989,0.916797488,0.663887836,0.77010989,0.916797488,0.663887836,0.006518564
04bd2751-cd1d-4b93-8c39-38dac2829f62,de7974c7-9d40-4124-8895-5917ab2e8b39,FALSE,None,QDA,1563,38,2,0.578005115,0.285714286,0.170984456,0.868421053,0.285714286,0.170984456,0.868421053,0.006756008
41512d79-272e-479e-9d04-f2763dd95914,63298847-bfee-456a-9810-c195b92656e2,FALSE,None,QDA,10218,8,10,0.48962818,0.48962818,0.48962818,0.48962818,0.501336876,0.580757066,0.51210599,0.008509137
47184717-32ec-4c50-af43-85af303ff777,d6989b69-d681-4857-85da-4a046304668b,FALSE,None,QDA,19020,12,2,0.9106204,0.858663119,0.960565476,0.776307877,0.858663119,0.960565476,0.776307877,0.011531275
40aef813-403b-4b02-8a14-68ea1b36f2d5,68bb5525-7395-4d00-8a98-aabf207843c6,FALSE,None,QDA,1458,38,2,0.55890411,0.383141762,0.240384615,0.943396226,0.383141762,0.240384615,0.943396226,0.006636732
c0ef222f-e486-4261-b928-d0defa3d27a3,7a4e4692-41a9-408a-b1d9-ac7781cc15d3,FALSE,None,QDA,522,22,2,0.809160305,0.418604651,0.6,0.321428571,0.418604651,0.6,0.321428571,0.003443372
fbd4793d-015e-4e22-bca0-c43eeb100012,b8223815-aa19-45ac-8481-80720ebe2c5a,FALSE,None,QDA,14980,15,2,0.726301736,0.719101124,0.69454738,0.745454545,0.719101124,0.69454738,0.745454545,0.011345911
196c13ec-9eeb-4bd0-ba2e-687e614cbb5a,6086e14f-3071-4e07-83f7-154c16eb1c02,FALSE,None,QDA,6118,52,6,0.308496732,0.308496732,0.308496732,0.308496732,0.304148467,0.36662002,0.347312332,0.032114852
8a36e541-a8a0-47eb-8512-26667375b340,1a17096e-fa2d-4964-8f9e-18d726b09b01,FALSE,None,QDA,625,5,3,0.891719745,0.891719745,0.891719745,0.891719745,0.820552614,0.804232804,0.883838384,0.002324401
3ebc40be-3bef-486d-8381-a0196ffce596,9e04f9cf-b90f-4eb4-be2f-c3e7450eb2e1,FALSE,None,QDA,748,5,2,0.657754011,0.515151515,0.404761905,0.708333333,0.515151515,0.404761905,0.708333333,0.002210697
d007ea8f-fc9b-4b3f-b60f-2a14ee82b887,607b693a-1c51-4371-8bdf-d042452c30e7,FALSE,None,QDA,2126,36,10,0.998120301,0.998120301,0.998120301,0.998120301,0.995761537,0.99893617,0.992857143,0.013310949
0ed8c812-3069-4125-9e5f-752c3f090a91,d9be5c87-e91d-44cc-b406-33d739000b29,FALSE,None,QDA,1080,857,9,0.148148148,0.148148148,0.148148148,0.148148148,0.099758091,0.303886252,0.151722868,0.143290669
27390640-2eb9-47c6-9e58-19ffed66e59f,7d0d9f7b-2441-4b1e-89b4-082ab2f6733b,FALSE,None,QDA,1372,5,2,0.994169096,0.993464052,0.987012987,1,0.993464052,0.987012987,1,0.002295052
7e537840-b575-47f6-898d-2e0599f6f657,044a6b15-9102-4ef2-8702-f94e3ce1fb9b,FALSE,None,QDA,20000,17,26,0.8902,0.8902,0.8902,0.8902,0.889806817,0.890782012,0.890251945,0.030288196
aeb55cd6-4670-44e9-8a57-30080c6fb59c,44003a94-8d21-4682-862d-a83617b3b988,FALSE,None,QDA,540,21,2,0.911111111,0.953488372,0.917910448,0.991935484,0.953488372,0.917910448,0.991935484,0.003443587
6f560487-944c-4495-93ec-7285f2a0cd09,43476c8b-c606-42f1-b567-651c345f95c5,FALSE,None,QDA,2000,77,10,0.786,0.786,0.786,0.786,0.780821673,0.78641321,0.786463514,0.047097423
a0a99e63-609a-4bc1-bd4f-6785a2446e46,693ff75e-61fb-4a19-8784-200b9f70a2f0,FALSE,None,QDA,2000,65,10,0.972,0.972,0.972,0.972,0.970707912,0.971325771,0.971289351,0.035767227
014136a6-c335-46d8-897e-45b633f413f5,728118ed-ed95-4d2d-bc4d-fb1077c069fb,FALSE,None,QDA,2000,7,10,0.094,0.094,0.094,0.094,0.017184644,0.0094,0.1,0.004601246
690312cf-ea5d-4f2f-9ab5-451ae51ecce1,cdd3fbef-fd4e-4563-93f8-39ad98aeff2c,FALSE,None,QDA,2000,48,10,0.798,0.798,0.798,0.798,0.789573789,0.792915791,0.791210754,0.024696561
a0431e7e-1d50-49a2-8404-8783538f21e1,b3c9e1f4-bcf9-44dc-ae5b-d25c4a4deb32,FALSE,None,QDA,5620,65,10,0.79430605,0.79430605,0.79430605,0.79430605,0.792325752,0.869030697,0.796338222,0.044656822
63ea4b62-7676-4f07-9f56-423d20f9a5b1,6f12a41a-fee3-414c-82b4-c1b75ab189be,FALSE,None,QDA,10992,17,10,0.102620087,0.102620087,0.102620087,0.102620087,0.018613861,0.010262009,0.1,0.014736083
0018ded6-3d48-4024-9a50-4e4c56db0fac,bf75a525-8253-4346-967c-6efb792d1213,FALSE,None,QDA,2310,20,7,0.764705882,0.764705882,0.764705882,0.764705882,0.740814204,0.819436251,0.772720642,0.007003332
d54ecaea-fa1f-45a3-9e3c-75271a3042c0,1b880049-3f47-4351-9335-b7fd5aeb854a,FALSE,None,QDA,2000,217,10,0.362,0.362,0.362,0.362,0.348022105,0.527099898,0.351851185,0.129123615
048f6035-dbb1-4a1f-be00-bb8810fdd13e,3b577a1f-8df3-405c-a001-e4ae64909be9,FALSE,None,QDA,768,9,2,0.765625,0.680851064,0.666666667,0.695652174,0.680851064,0.666666667,0.695652174,0.002496463
29a92420-e4f2-4c78-8ce4-37d416ff8ed5,13da63c7-d2d0-4e16-9113-deb4aef4ff66,FALSE,None,QDA,4601,58,2,0.845351868,0.83364486,0.749579832,0.938947368,0.83364486,0.749579832,0.938947368,0.023605608
3c38dd43-36cc-4300-893f-d890d0500de6,ffbe72b7-1dad-40a3-a071-dd34d4a5e107,FALSE,None,QDA,846,19,4,0.896226415,0.896226415,0.896226415,0.896226415,0.885383622,0.88385989,0.887614081,0.004233783
c9a0d453-3ae6-4cca-bbd8-c09baf601946,8d10cd46-25c6-4144-b0b4-086358847e19,FALSE,None,QDA,5000,41,3,0.8584,0.8584,0.8584,0.8584,0.858496511,0.858405583,0.859013101,0.015868875
76610bfb-7f98-4497-a064-d4159bfdb7fe,91cc29cc-e7bf-4e14-baff-af3f4832be8a,FALSE,None,QDA,6430,37,6,0.858830846,0.858830846,0.858830846,0.858830846,0.796781314,0.827858605,0.804827098,0.019728033
ce6b0b92-05a3-4763-8877-544d53c87b14,71bdced8-b65a-471f-a497-4368c248116f,TRUE,None,QDA,7797,618,26,0.084076433,0.084076433,0.084076433,0.084076433,0.086253895,0.096132584,0.085252454,3.619286332
6c724e17-6d86-4e9f-b304-2941edc5b33d,18f544e5-640e-44b2-a884-490ed07f2004,FALSE,None,QDA,9961,15,9,0.970293055,0.970293055,0.970293055,0.970293055,0.969310955,0.969799523,0.968957042,0.012143212
3d9fc9a3-3742-4ae5-b8d8-34398ef1f8be,8ef24a7d-3915-4fdc-bdd1-5071f7100a2c,FALSE,None,QDA,841,71,4,0.900473934,0.900473934,0.900473934,0.900473934,0.696248855,0.668671596,0.726666667,0.016216395
0ce1d9c3-465a-4d86-bdbc-6bbf32e0e9fb,e162fc09-7974-434e-8d63-fe85fc10949e,FALSE,None,QDA,1212,101,2,0.528052805,0.421052632,0.604651163,0.322981366,0.421052632,0.604651163,0.322981366,0.022797461
8ab372a9-6fc4-44c2-9d59-7ba88d5f11df,579fbdd2-f476-4c3e-a763-d883b24b7b8f,FALSE,None,QDA,5404,6,2,0.786084382,0.675645342,0.600798403,0.771794872,0.675645342,0.600798403,0.771794872,0.00350741
6e94a052-3571-45ca-b087-35968ee9d3f5,1df8b3f4-e6e9-4a1c-a4dc-e2ba868a8324,TRUE,None,QDA,70000,785,10,0.52952953,0.52952953,0.52952953,0.52952953,0.462105357,0.696304038,0.524988062,23.29581898
5d26c47e-4481-4a5c-b708-e498944125c1,cdf1e0eb-dfd2-47ed-9a20-203069db5624,FALSE,None,QDA,2534,73,2,0.925867508,0.040816327,0.111111111,0.025,0.040816327,0.111111111,0.025,0.019256159
