fID,eID,trees,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,205f5da4-4658-4c3b-9e0d-fcf546114e17,100,FALSE,None,RF,1000,21,2,0.784,0.859375,0.800970874,0.926966292,0.859375,0.800970874,0.926966292,0.250676845
51d170bf-4964-4990-b3b1-6cb4310b1e4a,dd90875a-bc94-4b39-ad00-0dafee65fa42,200,FALSE,None,RF,1000,21,2,0.76,0.844559585,0.783653846,0.915730337,0.844559585,0.783653846,0.915730337,0.382320494
51d170bf-4964-4990-b3b1-6cb4310b1e4a,cd698635-db59-4722-ad30-1ec5abf57287,300,FALSE,None,RF,1000,21,2,0.784,0.860103627,0.798076923,0.93258427,0.860103627,0.798076923,0.93258427,0.574758886
51d170bf-4964-4990-b3b1-6cb4310b1e4a,29a391fb-dd97-4915-8109-02676cc10135,400,FALSE,None,RF,1000,21,2,0.792,0.864583333,0.805825243,0.93258427,0.864583333,0.805825243,0.93258427,0.767465015
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,887f449a-6aff-4be1-96d5-790350e9a0b7,100,FALSE,None,RF,3468,971,2,0.925028835,0.925544101,0.922374429,0.928735632,0.925544101,0.922374429,0.928735632,1.558376975
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,65311005-1644-485b-8285-07d800f0f16a,200,FALSE,None,RF,3468,971,2,0.930795848,0.931506849,0.925170068,0.937931034,0.931506849,0.925170068,0.937931034,2.994263793
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,566a4a04-e403-4d2a-92b5-238d24cba97f,300,FALSE,None,RF,3468,971,2,0.928489043,0.928571429,0.930715935,0.926436782,0.928571429,0.930715935,0.926436782,4.484749056
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,47f77f69-ccd7-4276-bf42-275c3ebc5358,400,FALSE,None,RF,3468,971,2,0.926182238,0.926940639,0.920634921,0.933333333,0.926940639,0.920634921,0.933333333,5.9816797
622f51f0-b52e-433c-a51c-de7463629a14,d139a1a4-3aa5-4124-b70b-2797109910d5,100,FALSE,None,RF,1109,22,2,0.924460432,0.322580645,0.714285714,0.208333333,0.322580645,0.714285714,0.208333333,0.26804369
622f51f0-b52e-433c-a51c-de7463629a14,1b73bf33-2a31-4665-a91b-30ad2fbfc94e,200,FALSE,None,RF,1109,22,2,0.920863309,0.266666667,0.666666667,0.166666667,0.266666667,0.666666667,0.166666667,0.419603475
622f51f0-b52e-433c-a51c-de7463629a14,f42e4570-e7fc-45ff-88cb-bc1f4bbb83f2,300,FALSE,None,RF,1109,22,2,0.920863309,0.266666667,0.666666667,0.166666667,0.266666667,0.666666667,0.166666667,0.625289485
622f51f0-b52e-433c-a51c-de7463629a14,f6cfab39-42b0-4db8-a2c6-a9077e66178d,400,FALSE,None,RF,1109,22,2,0.920863309,0.266666667,0.666666667,0.166666667,0.266666667,0.666666667,0.166666667,0.836355774
592d3861-42e9-4735-b81a-d01ae6b70dd1,2660dafa-d50f-48c0-b53e-8ab7499c5089,100,FALSE,None,RF,2109,22,2,0.852272727,0.380952381,0.6,0.279069767,0.380952381,0.6,0.279069767,0.338400639
592d3861-42e9-4735-b81a-d01ae6b70dd1,8e7d7889-145c-41be-bf26-bed3ca36c8f3,200,FALSE,None,RF,2109,22,2,0.846590909,0.372093023,0.558139535,0.279069767,0.372093023,0.558139535,0.279069767,0.563186423
592d3861-42e9-4735-b81a-d01ae6b70dd1,508196fd-e160-455d-a008-b9bdb9563294,300,FALSE,None,RF,2109,22,2,0.852272727,0.390625,0.595238095,0.290697674,0.390625,0.595238095,0.290697674,0.845121206
