fID,eID,C,Kernel,Degree,Tolerance
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5dca9cf5-047a-4a52-adea-ce74d9856e48,1,rbf,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,eef24211-2f69-452c-9df2-809fa6be454a,1,rbf,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,b724b842-eaf4-417f-b13c-426ed5065309,1,rbf,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,3a72d71a-3142-41a8-b616-f435c99968d5,1,rbf,4,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,abd83414-548d-4e1e-8b6e-78c51faab7d2,1,rbf,5,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,2e7be43d-dd4b-4f1a-960e-3316e2d83892,1,rbf,5,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,8de3eb60-c120-4aac-bf82-4d25179ee620,1,rbf,6,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,63e1a735-3f1a-4048-b2fa-24484ba9f879,1,rbf,6,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,e349bcde-e74f-400b-a613-8dc6009b19f3,1,rbf,7,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,41cfbd94-103c-413d-9cd6-5b8a136b36fd,1,rbf,7,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,d5582185-f87f-417b-aac9-f4183dd38f20,1,rbf,8,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,82cdaedf-2fae-4a35-94c3-846c582dd872,1,rbf,8,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,163ca1b1-28a3-4891-9a3b-4e999e3c7190,1,linear,3,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,da6e9c7a-4821-4db3-aec3-cae1adc626bc,1,linear,3,0.001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,07abd831-4751-44fc-a1b8-12c99dec00d9,1,linear,4,0.0001
51d170bf-4964-4990-b3b1-6cb4310b1e4a,5f5de2e0-337e-4368-827a-f8a4930ec8d3,1,linear,4,0.001
